id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
1,Vendedor telefónico,"Colaboración independiente para tareas de ciencia de datos, traducción.","Ciencia de datos, Traducción",2024-11-18,Cerrado
2,Community manager,"Trabajo temporal relacionado con servicio al cliente, diseño gráfico, html.","Servicio al cliente, Diseño gráfico, HTML",2025-04-19,Abierto
3,Profesor de inglés,"Colaboración independiente para tareas de traducción, css, diseño gráfico, inglés avanzado.","Traducción, CSS, Diseño gráfico, Inglés avanzado",2025-04-07,Cerrado
4,Especialista en SEO,"Se requiere conocimiento en mecánica automotriz, marketing digital.","Mecánica automotriz, Marketing digital",2025-04-17,Cerrado
5,Diseñador gráfico,"Colaboración independiente para tareas de instalaciones eléctricas, marketing digital, administración, terapia física.","Instalaciones eléctricas, Marketing digital, Administración, Terapia Física",2025-01-28,Cerrado
6,Desarrollador web,"Colaboración independiente para tareas de diseño gráfico, diseño ux/ui, ventas, electricidad.","Diseño gráfico, Diseño UX/UI, Ventas, Electricidad",2024-12-02,Abierto
7,Diseñador industrial,"Trabajo temporal relacionado con contabilidad, marketing digital, html.","Contabilidad, Marketing digital, HTML",2025-02-12,Abierto
8,Diseñador industrial,"Se busca profesional con experiencia en servicio al cliente, mecánica automotriz, atención al cliente, marketing digital.","Servicio al cliente, Mecánica automotriz, Atención al cliente, Marketing digital",2025-03-27,Cerrado
9,Diseñador UX/UI,"Colaboración independiente para tareas de electricidad, ciencia de datos, servicio al cliente.","Electricidad, Ciencia de datos, Servicio al cliente",2025-01-07,Cerrado
10,Vendedor telefónico,"Se requiere conocimiento en html, carpintería, illustrator.","HTML, Carpintería, Illustrator",2025-01-28,Cerrado
11,Redactor de contenido,"Importante empresa solicita apoyo en el área de terapia física, redacción, javascript, photoshop.","Terapia Física, Redacción, JavaScript, Photoshop",2025-02-18,Abierto
12,Auxiliar contable,"Se requiere conocimiento en diseño gráfico, mecánica automotriz, ventas.","Diseño gráfico, Mecánica automotriz, Ventas",2024-11-15,Abierto
13,Repartidor,"Colaboración independiente para tareas de servicio al cliente, illustrator, ciencia de datos, atención al cliente.","Servicio al cliente, Illustrator, Ciencia de datos, Atención al cliente",2024-11-05,Cerrado
14,Fotógrafo,"Se requiere conocimiento en photoshop, diseño gráfico.","Photoshop, Diseño gráfico",2025-01-17,Cerrado
15,Repartidor,"Colaboración independiente para tareas de illustrator, carpintería.","Illustrator, Carpintería",2025-01-15,Abierto
16,Repartidor,"Trabajo temporal relacionado con atención al cliente, traducción, diseño gráfico, terapia física.","Atención al cliente, Traducción, Diseño gráfico, Terapia Física",2024-11-19,Cerrado
17,Profesor de inglés,"Importante empresa solicita apoyo en el área de carpintería, atención al cliente.","Carpintería, Atención al cliente",2025-02-02,Cerrado
18,Repartidor,"Trabajo temporal relacionado con seo, servicio al cliente, inglés avanzado, contabilidad.","SEO, Servicio al cliente, Inglés avanzado, Contabilidad",2025-04-16,Cerrado
