id_contratacion,id_servicio,id_trabajador,fecha_contratacion,estado_contratacion
1,6408,6582,2025-01-30,Activo
2,8332,6068,2024-12-27,Cancelado
3,7574,2614,2025-03-13,Cancelado
4,44,265,2025-02-22,Activo
5,9963,5763,2025-02-17,Finalizado
6,5557,1756,2025-04-08,Activo
7,2712,4620,2025-02-23,Cancelado
8,9927,6691,2025-04-15,Cancelado
9,112,6606,2025-01-30,Finalizado
10,5917,2718,2025-01-25,Finalizado
11,1807,6316,2025-01-21,Cancelado
12,8096,1048,2025-01-02,Activo
13,2588,196,2024-12-29,Cancelado
14,7534,7414,2025-01-03,Activo
15,9167,8105,2025-03-05,Cancelado
16,4732,777,2025-01-22,Finalizado
17,8468,7000,2025-02-20,Finalizado
18,5900,9137,2025-03-31,Cancelado
19,3638,4786,2025-03-05,Finalizado
20,7633,856,2025-04-24,Finalizado
21,2590,9369,2025-03-01,Cancelado
22,3944,2937,2025-01-11,Activo
23,1567,7980,2025-01-11,Activo
24,429,1450,2025-03-18,Cancelado
25,6906,907,2025-03-31,Finalizado
26,4364,5388,2025-04-05,Activo
27,4503,4539,2025-01-07,Cancelado
28,4271,2358,2025-04-08,Activo
29,6765,9138,2025-01-17,Activo
30,3821,7874,2025-01-09,Activo
31,5349,4512,2025-04-04,Cancelado
32,1588,4347,2025-03-01,Cancelado
33,3298,4496,2025-04-23,Finalizado
34,4067,5917,2025-03-26,Activo
35,804,8452,2025-04-13,Activo
36,1215,7723,2025-01-06,Finalizado
37,4942,4394,2025-01-18,Cancelado
38,9577,2820,2025-02-21,Cancelado
39,731,9199,2025-02-10,Activo
40,1468,7019,2025-01-12,Activo
41,842,4528,2025-04-22,Activo
42,5230,6613,2025-01-10,Activo
43,3464,7570,2024-12-26,Cancelado
44,7801,5152,2025-04-14,Finalizado
45,8438,7454,2025-04-13,Cancelado
46,3739,2799,2025-01-05,Cancelado
47,4746,7078,2025-03-09,Activo
48,6182,5601,2025-03-13,Finalizado
49,5314,7967,2025-03-24,Activo
50,6320,5478,2025-02-09,Activo
51,6354,6301,2025-02-26,Finalizado
52,7191,3851,2025-03-13,Activo
53,8543,5628,2025-02-03,Activo
54,9801,1513,2025-03-22,Cancelado
55,610,8165,2025-03-10,Activo
56,816,6079,2025-02-16,Finalizado
57,6511,2514,2025-02-10,Activo
58,6574,4892,2025-04-24,Activo
59,8317,2594,2025-01-26,Finalizado
60,3669,7369,2025-04-18,Activo
61,6769,8631,2025-03-04,Finalizado
62,520,5202,2025-03-28,Finalizado
63,8125,156,2025-01-09,Activo
64,5269,2747,2025-01-13,Activo
65,4439,4384,2025-01-22,Cancelado
66,810,2541,2025-01-05,Cancelado
67,7238,5197,2025-04-21,Finalizado
68,8286,3692,2025-02-08,Finalizado
69,8804,3351,2025-02-23,Finalizado
70,1619,7307,2025-02-24,Activo
71,2792,2298,2025-03-02,Activo
72,3665,8380,2025-04-15,Finalizado
73,2724,5324,2025-04-04,Activo
74,9137,407,2025-04-23,Activo
75,6965,6105,2025-01-21,Finalizado
76,5489,4383,2025-03-03,Activo
77,6309,9964,2025-03-16,Finalizado
78,6109,8474,2025-01-02,Cancelado
79,4938,3932,2025-02-28,Activo
80,5721,2253,2025-04-17,Cancelado
81,454,6454,2025-03-30,Finalizado
82,434,3937,2025-02-08,Finalizado
83,9123,1501,2025-02-13,Finalizado
84,7875,1625,2025-03-10,Cancelado
85,3780,8409,2025-03-07,Finalizado
86,7297,8499,2025-02-11,Cancelado
87,6852,1286,2025-03-18,Activo
88,6511,5340,2025-03-03,Activo
89,771,6608,2025-03-03,Finalizado
90,8693,3386,2025-01-01,Finalizado
91,6471,9312,2025-04-01,Cancelado
92,7068,3359,2025-02-17,Cancelado
93,8901,6153,2025-04-19,Finalizado
94,4411,5898,2025-02-12,Cancelado
