habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
Diseño animado,2,0.0,principiante,Diseñador,7d8c4d96-8ec7-4a99-b066-d026fd2b1c06,medio_tiempo
"Diseño UX/UI, Python, Electricidad",6,3.5,Junior,Licenciado,1,Tiempo completo
"Marketing digital, HTML, Photoshop",9,3.6,Senior,Otro,2,Tiempo completo
"Soporte técnico, Administración, Electricidad, Redacción, Inglés avanzado",13,2.2,Junior,Licenciado,3,Medio tiempo
"Mecánica automotriz, Instalaciones eléctricas, Electricidad, Ciencia de datos",15,1.8,Junior,Ingeniero,4,Medio tiempo
"JavaScript, Carpintería, Diseño UX/UI, Illustrator, Instalaciones eléctricas",20,2.5,Senior,Otro,5,Medio tiempo
"Programación en Java, CSS, Diseño UX/UI",9,1.4,Medio,Otro,6,Tiempo completo
"Terapia Física, Marketing digital, JavaScript, Diseño gráfico",4,1.2,Medio,Otro,7,Medio tiempo
"Soporte técnico, Instalaciones eléctricas, Atención al cliente, CSS",4,1.2,Senior,Otro,8,Tiempo completo
"Python, Soporte técnico, CSS, Ciencia de datos, Programación en Java",11,4.1,Medio,Otro,9,Medio tiempo
"Instalaciones eléctricas, Marketing digital, Diseño gráfico",10,2.2,Junior,Otro,10,Tiempo completo
"Soporte técnico, Ciencia de datos, Electricidad, Tramitología",11,2.8,Senior,Otro,11,Medio tiempo
"Servicio al cliente, CSS, Programación en Java",18,3.4,Medio,Otro,12,Medio tiempo
"Instalaciones eléctricas, Carpintería, SEO",15,1.4,Senior,Otro,13,Tiempo completo
"Marketing digital, Contabilidad, Electricidad",1,2.1,Junior,Otro,14,Medio tiempo
"Marketing digital, JavaScript, Soporte técnico",19,4.6,Senior,Otro,15,Tiempo completo
"Ciencia de datos, Traducción, Instalaciones eléctricas, Soporte técnico, Electricidad",4,4.7,Medio,Otro,16,Tiempo completo
"Illustrator, Traducción, Inglés avanzado, Programación en Java",6,4.1,Medio,Otro,17,Tiempo completo
"JavaScript, Ventas, Administración, Instalaciones eléctricas, Electricidad",12,4.9,Medio,Otro,18,Tiempo completo
"Tramitología, Mecánica automotriz, Redacción",19,4.6,Medio,Otro,19,Tiempo completo
"Tramitología, Carpintería, Python, Soporte técnico, Contabilidad",1,3.4,Medio,Otro,20,Tiempo completo
"CSS, Atención al cliente, Diseño gráfico, Servicio al cliente, Terapia Física",12,1.7,Medio,Otro,21,Medio tiempo
"HTML, Instalaciones eléctricas, Marketing digital, Mecánica automotriz",1,2.2,Medio,Otro,22,Medio tiempo
"Instalaciones eléctricas, HTML, Administración",5,2.4,Senior,Otro,23,Tiempo completo
"JavaScript, Mecánica automotriz, Atención al cliente, Python, Marketing digital",18,1.3,Junior,Otro,24,Medio tiempo
"Illustrator, Traducción, Diseño gráfico, Redacción",3,2.5,Senior,Otro,25,Tiempo completo
"Tramitología, Administración, Contabilidad",4,3.9,Junior,Otro,26,Tiempo completo
"Redacción, Ventas, Python",9,4.0,Medio,Otro,27,Medio tiempo
"Ciencia de datos, Traducción, Administración, Diseño UX/UI, Contabilidad",6,2.0,Medio,Otro,28,Medio tiempo
"Tramitología, Instalaciones eléctricas, Administración, Terapia Física",7,4.9,Medio,Licenciado,29,Tiempo completo
"Contabilidad, Instalaciones eléctricas, Servicio al cliente, Terapia Física",10,2.6,Junior,Otro,30,Medio tiempo
"CSS, Diseño UX/UI, Inglés avanzado, Soporte técnico, Contabilidad",18,4.4,Junior,Otro,31,Medio tiempo
"Tramitología, HTML, SEO, Ciencia de datos",1,2.7,Senior,Otro,32,Tiempo completo
"Carpintería, Marketing digital, Ciencia de datos",17,1.2,Medio,Otro,33,Tiempo completo
"Ciencia de datos, Atención al cliente, Traducción, Inglés avanzado",6,4.5,Senior,Otro,34,Tiempo completo
"Administración, Mecánica automotriz, Carpintería, Contabilidad, Ciencia de datos",9,1.6,Senior,Otro,35,Medio tiempo
"Ventas, Atención al cliente, Diseño gráfico",2,2.0,Medio,Otro,36,Tiempo completo
"Marketing digital, Electricidad, Mecánica automotriz",17,2.6,Senior,Otro,37,Medio tiempo
"Tramitología, Illustrator, Terapia Física, Servicio al cliente, Ciencia de datos",10,4.1,Junior,Otro,38,Tiempo completo
"Soporte técnico, Diseño gráfico, Electricidad, Instalaciones eléctricas, CSS",9,4.0,Medio,Otro,39,Tiempo completo
"SEO, JavaScript, HTML",12,2.4,Junior,Otro,40,Tiempo completo
"Servicio al cliente, Terapia Física, Ciencia de datos, Traducción",3,1.1,Medio,Otro,41,Medio tiempo
"Mecánica automotriz, Administración, Photoshop, Servicio al cliente, Tramitología",5,4.8,Junior,Otro,42,Medio tiempo
"SEO, Administración, Ventas, Programación en Java, Contabilidad",16,4.8,Medio,Ingeniero,43,Medio tiempo
"Marketing digital, Redacción, Diseño gráfico, Electricidad",2,2.8,Medio,Otro,44,Medio tiempo
"Contabilidad, Tramitología, Marketing digital, Atención al cliente, HTML",2,4.2,Medio,Otro,45,Tiempo completo
"Tramitología, Ciencia de datos, Atención al cliente, Illustrator, Photoshop",9,4.8,Medio,Otro,46,Medio tiempo
"Ventas, Soporte técnico, Terapia Física, Mecánica automotriz",12,2.9,Senior,Otro,47,Medio tiempo
"HTML, SEO, Ciencia de datos",1,2.9,Junior,Otro,48,Tiempo completo
"Carpintería, Photoshop, Atención al cliente",5,2.7,Senior,Otro,49,Tiempo completo
"Contabilidad, Illustrator, Administración, Diseño UX/UI, Python",6,2.4,Senior,Licenciado,50,Tiempo completo
"Terapia Física, Electricidad, Tramitología, SEO",2,4.9,Senior,Otro,51,Tiempo completo
"Contabilidad, Ventas, Servicio al cliente",17,1.2,Junior,Otro,52,Medio tiempo
"Programación en Java, Instalaciones eléctricas, Terapia Física",20,1.1,Medio,Otro,53,Medio tiempo
"Ciencia de datos, Mecánica automotriz, Marketing digital, Programación en Java, Redacción",5,1.4,Junior,Otro,54,Medio tiempo
"Illustrator, Terapia Física, CSS, Python, Tramitología",15,3.2,Senior,Otro,55,Tiempo completo
"Tramitología, Ciencia de datos, Illustrator",2,4.2,Medio,Otro,56,Tiempo completo
"Instalaciones eléctricas, Python, Traducción, Redacción",1,4.4,Medio,Otro,57,Tiempo completo
"Marketing digital, Terapia Física, Soporte técnico, Python",8,1.2,Medio,Otro,58,Tiempo completo
"JavaScript, Soporte técnico, Illustrator, Instalaciones eléctricas, Contabilidad",12,1.5,Medio,Otro,59,Tiempo completo
"Python, Traducción, Ciencia de datos, Administración, Inglés avanzado",6,4.1,Medio,Otro,60,Medio tiempo
